SN,Trade Name,Srikakulam,Vizianagaram,Parvathipuram Manyam,Alluri Sitharama Raju,Visakhapatnam,Anakapalli,Konaseema,Kakinada,East Godavari,West Godavari,Eluru,Krishna,NTR Vijayawada,Guntur,Palnadu,Bapatla,Prakasam,Nellore,Chittoor,Tirupati,Y.S.R. Kadapa,Annamayya,Nandyal,Kurnool,Sri Sathya Sai,Ananthapuramu,Grand Total
1,3D Digital Game Art,134,62,21,16,129,146,68,61,96,130,83,188,124,116,139,109,87,107,110,131,263,139,202,236,65,200,3162
2,Additive Manufacturing,59,43,17,8,28,30,75,39,27,27,51,40,37,34,30,27,51,35,32,19,74,94,53,53,23,55,1061
3,Autobody Repair,13,19,11,15,16,24,9,14,7,1,14,15,14,11,10,30,12,12,10,10,17,8,25,8,4,15,344
4,Automobile Technology,37,31,23,7,48,62,14,21,18,47,23,38,18,35,35,33,60,38,29,47,56,20,59,64,37,91,991
5,Autonomous Mobile Robotics,4,1,1,0,4,3,0,0,1,1,2,1,2,7,3,0,0,7,1,1,0,0,6,0,2,2,49
6,Bakery,2,6,2,3,19,6,3,10,9,16,9,13,20,13,30,9,27,31,19,27,17,7,9,16,93,21,437
7,Beauty Therapy,43,25,17,22,40,71,44,22,40,22,30,67,43,28,68,35,58,179,60,93,73,31,46,85,16,74,1332
8,Bricklaying,9,10,1,1,11,0,6,2,0,23,1,3,3,1,2,0,15,16,14,0,7,1,0,19,0,1,146
9,Cabinetmaking,1,0,0,0,2,2,4,0,0,0,0,2,0,0,1,0,1,2,0,0,3,0,0,0,0,0,18
10,Car Painting,8,1,0,6,5,7,3,1,2,0,1,7,6,2,12,3,10,13,6,11,15,4,7,2,4,19,155
11,Carpentry,15,2,1,4,9,7,0,5,11,3,0,2,5,8,3,5,7,1,1,5,18,10,8,3,0,3,136
12,Cloud Computing,404,679,68,34,651,500,230,585,294,687,193,357,563,421,258,331,710,347,144,292,418,1169,457,287,140,435,10654
13,CNC Milling,65,8,3,0,13,13,3,7,11,1,2,13,14,1,4,6,5,11,3,3,25,1,18,9,4,2,245
14,CNC Turning,51,16,8,2,40,74,5,2,4,5,2,19,22,15,2,5,4,11,11,10,18,8,18,8,13,64,437
15,Concrete Construction Work,32,10,8,4,3,3,0,6,4,0,3,0,8,0,10,1,6,8,8,4,2,1,2,1,2,3,129
16,Cooking,94,58,15,10,97,109,17,65,86,78,41,170,143,97,107,81,99,141,97,215,101,63,83,54,82,130,2333
17,Cyber Security,19,14,4,0,36,71,11,37,88,60,37,72,59,59,57,59,36,93,25,94,26,23,105,86,48,67,1286
18,Digital Construction,11,24,11,9,22,8,20,8,31,11,13,33,19,16,26,22,38,8,19,18,20,13,29,33,14,22,498
19,Digital Interactive Media,7,8,2,1,104,12,15,43,23,18,11,9,9,4,6,3,8,13,27,38,37,12,13,89,11,12,535
20,Electrical Installations,343,192,114,15,123,120,188,137,92,122,86,120,67,115,53,141,92,90,106,77,81,86,92,76,42,102,2872
21,Electronics,212,136,62,10,215,169,87,81,87,88,61,157,108,180,174,225,169,173,111,155,195,157,135,63,102,244,3556
22,Fashion Technology,79,15,11,2,35,23,5,23,47,30,161,48,49,70,66,42,54,41,33,101,57,88,54,40,35,77,1286
23,Floristry,3,3,0,1,4,2,6,2,3,3,14,3,8,3,2,3,4,3,1,7,4,3,0,8,3,1,94
24,Graphic Design Technology,12,17,6,0,48,17,21,25,50,35,16,26,42,46,27,25,36,30,12,35,30,9,19,16,15,35,650
25,Hairdressing,9,4,2,2,20,5,1,4,10,2,5,8,9,5,2,6,9,10,7,18,8,1,2,7,8,14,178
26,Health and Social Care,22,19,22,6,32,44,29,34,56,16,33,42,21,58,31,14,22,48,45,74,329,49,55,33,32,36,1202
27,Hotel Reception,14,8,4,0,22,7,6,8,5,7,9,17,20,20,19,22,12,21,9,43,10,8,14,4,9,18,336
28,Industry 4.0,5,0,0,0,3,13,1,0,3,2,2,4,10,9,1,6,0,3,0,6,0,0,2,0,2,2,74
29,IT Network Systems Administration,14,23,0,2,29,27,18,42,13,23,18,71,11,28,28,13,11,53,37,11,18,11,15,61,20,30,627
30,Jewellery,8,2,1,2,9,1,5,3,6,4,8,10,9,12,9,3,10,9,6,7,9,4,10,8,3,9,167
31,Joinery,0,3,0,0,9,2,0,0,1,0,0,2,0,0,1,1,0,1,0,3,0,0,1,0,0,0,24
32,Landscape Gardening,3,4,0,0,2,2,2,3,2,6,7,3,2,2,3,2,5,1,4,1,2,4,4,2,1,3,70
33,Mechanical Engineering CAD,33,28,6,2,43,61,14,25,9,7,8,34,31,13,40,9,7,3,10,10,6,3,11,13,16,28,470
34,Mechatronics,1,1,0,0,2,1,0,1,0,0,2,1,7,0,3,1,0,0,2,0,1,0,2,2,3,2,32
35,Mobile Applications Development,21,16,3,1,24,40,17,69,48,75,57,77,34,88,68,34,77,45,23,88,32,22,37,30,28,41,1095
36,Painting and Decorating,17,22,2,5,67,34,11,29,37,62,30,74,63,51,46,41,35,50,37,62,23,19,15,25,36,41,934
37,Plastering and Drywall Systems,1,1,3,2,1,1,0,0,0,2,0,0,2,1,0,0,1,0,1,0,4,0,2,0,0,0,22
38,Plumbing and Heating,19,19,22,0,13,8,4,20,9,6,35,4,2,12,7,16,37,18,42,24,17,8,24,2,3,5,376
39,Refrigeration and Air Conditioning,4,8,2,1,28,17,34,7,6,32,34,17,14,0,3,3,1,17,0,13,3,0,7,0,7,2,260
40,Renewable Energy,7,8,2,2,3,13,4,10,10,43,11,7,17,12,9,9,7,7,21,11,21,4,25,9,8,26,306
41,Restaurant Service,1,5,0,1,4,4,1,1,2,2,4,7,27,4,6,7,7,7,1,14,3,3,2,7,4,18,142
42,Retail Sales,10,3,1,1,7,11,3,10,10,13,16,12,12,6,29,3,63,11,5,15,8,6,5,16,4,15,295
43,Robot Systems Integration,1,3,1,0,3,3,1,3,1,1,2,5,6,5,3,1,9,12,1,1,4,0,16,3,5,3,93
44,Software Application Development,141,114,61,10,135,108,72,287,117,294,75,311,124,289,163,104,113,162,99,192,275,98,101,196,83,138,3862
45,Software Testing,12,19,2,1,11,16,8,22,16,22,10,33,18,39,40,28,16,24,28,34,70,19,24,29,20,27,588
